,,,,,,Process name,Case2: STRAP,Landfill (film) - SI units,"market for ethylene glycol | ethylene glycol | APOS, S","market for nylon 6 | nylon 6 | APOS, S","market for polyethylene, linear low density, granulate | polyethylene, linear low density, granulate | APOS, S","market group for electricity, medium voltage | electricity, medium voltage | APOS, S","market group for heat, district or industrial, natural gas | heat, district or industrial, natural gas | APOS, S","market group for tap water | tap water | APOS, S",STRAP (SI units)
,,,,,,Product name,multilayer film,multilayer film waste,ethylene glycol,nylon 6,"polyethylene, linear low density, granulate","electricity, medium voltage","heat, district or industrial, natural gas",tap water,multilayer film waste
,,,,,,Multi-Output process,false,false,false,false,false,false,false,false,false
,,,,,,UUID,3a017a81-50f7-4a19-b71c-106d1b57115e,36e9153c-f08a-4edf-8aae-80eef6f20e3d,4052f31f-cd94-4b86-b075-210914586a0f,d16b5d3f-b5e4-45b6-9a04-23cde05220c0,ff4734a5-a4a6-4960-bfbd-febae7a64f65,759b89bd-3aa6-42ad-b767-5bb9ef5d331d,1125e767-7b5d-442e-81d6-9b0d3e1919ac,c5adb1fb-872e-4446-a3bb-c4b61aa4bd45,36e9153c-f08a-4edf-8aae-80eef6f20e3d
,,,,,,Infrastructure product,false,false,false,false,false,false,false,false,false
,,,,,,Process location,,,GLO,RoW,GLO,US,GLO,GLO,
,,,,,,Process category,Z10: REMADE LCA paper,Z2: REMADE,"201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics","201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics","201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics","351:Electric power generation, transmission and distribution",353:Steam and air conditioning supply,"360:Water collection, treatment and supply",Z2: REMADE
,,,,,,Process sub category,,,2011:Manufacture of basic chemicals,2013:Manufacture of plastics and synthetic rubber in primary forms,2013:Manufacture of plastics and synthetic rubber in primary forms,"3510:Electric power generation, transmission and distribution",3530:Steam and air conditioning supply,"3600:Water collection, treatment and supply",
,,,,,,Product/Service unit,,,,,,,,,
UUID,Category,Sub category,Elementary flowname,Elementary flow location,Unit,,,,,,,,,,
15720685-ab3e-4167-904a-3d2992d72ddf,Emission to air,low population density,Acetamide,,kg,,,1.32146E-14,,,,,,,
c3de45a3-e6fd-494e-aa85-d352b478e87b,Emission to air,low population density,Acetamide,,kg,,,,1.13717E-12,4.81338E-13,1.04693E-12,2.79704E-13,5.83339E-15,9.57488E-16,
eb23cf3a-b866-458d-94b3-9aee4145fcc9,Emission to soil,agricultural,Acetamide,,kg,,,1.75056E-13,1.23919E-11,8.67371E-12,1.51286E-11,6.18552E-12,3.65336E-14,1.42396E-14,
ee731ea9-113a-471c-9503-dcc0d5c7409d,Emission to soil,agricultural,Acetamiprid,,kg,,,6.80669E-13,,,,,,,
910b7532-d541-45a5-a535-03f54997726e,Emission to soil,agricultural,Acetamiprid,,kg,,,,2.47105E-10,5.36911E-12,1.42888E-10,3.14089E-10,3.68743E-13,1.98619E-13,
b9b68c0c-053e-41de-ab72-8dfe1c3f5755,Emission to air,high population density,Acetic acid,,kg,,,2.47185E-09,4.72676E-07,1.3085E-08,6.32161E-06,4.51022E-08,3.1903E-08,3.33945E-10,
c5cc0625-6e01-4639-b053-5d1d9d22a53c,Emission to air,low population density,Acetic acid,,kg,,,1.48545E-09,3.75852E-07,1.70516E-08,1.87363E-07,3.84469E-07,4.26824E-08,3.76506E-10,
d157416d-db9b-4f88-a7f3-a9a5f1ea88f2,Emission to air,unspecified,Acetic acid,,kg,,,5.76521E-09,8.60338E-08,1.42974E-08,3.04788E-05,1.45918E-08,5.62482E-10,1.13373E-10,
061c7a46-3728-48fa-8240-7a8841e6ca6f,Emission to water,surface water,Acetic acid,,kg,,,5.46008E-10,5.66798E-08,2.72595E-09,2.45634E-06,5.32329E-09,1.18479E-10,6.24096E-11,
3cea246d-706f-4280-ac52-3c7590e8fa7f,Emission to water,unspecified,Acetic acid,,kg,,,2.50649E-14,7.56746E-12,1.68245E-13,3.45884E-12,2.35261E-11,5.85004E-15,9.61567E-15,
92ee2fc1-238c-465d-9887-418af42db9c7,Emission to soil,agricultural,Acetochlor,,kg,,,3.71148E-11,2.62082E-09,1.84817E-09,3.17523E-09,1.35202E-09,7.5103E-12,2.94026E-12,
1f130425-11f9-4ec2-8d2f-d282acaacf5c,Emission to air,high population density,Acetone,,kg,,,6.56165E-10,6.16551E-07,1.86109E-08,3.77323E-07,1.75131E-08,1.52195E-10,1.75632E-10,
7a2d7097-20c4-4b5f-b2ee-bcfc2ba1378f,Emission to air,low population density,Acetone,,kg,,,2.16755E-09,1.22841E-07,1.95735E-08,2.43562E-07,4.33245E-08,1.18629E-09,5.7715E-10,
f3d5fd96-8805-4d3d-867a-5df27975b07f,Emission to air,unspecified,Acetone,,kg,,,3.62989E-10,2.97913E-08,1.80014E-09,2.03719E-06,1.27344E-08,7.77077E-11,3.16921E-11,
0e8f17d0-3e52-4f6f-bef9-60f6007a7aab,Emission to water,surface water,Acetone,,kg,,,1.07139E-10,2.33074E-08,8.35264E-10,1.4011E-08,1.36778E-08,4.78591E-11,3.18204E-10,
d78a3d22-4bed-4ad3-8a9c-1cc4645188d0,Emission to water,unspecified,Acetone,,kg,,,2.48578E-12,7.77248E-10,1.71933E-11,6.6612E-10,1.74064E-09,6.64829E-11,8.26194E-13,
f7553ef8-e4f3-4b9c-98be-81fa36315648,Emission to air,low population density,Acetonitrile,,kg,,,2.49902E-11,4.64777E-09,6.61252E-10,2.76654E-09,2.07477E-09,8.97817E-12,4.32959E-12,
b4604f84-4a09-412e-86ed-078533d9da5d,Emission to water,surface water,Acetonitrile,,kg,,,1.11317E-14,2.48499E-12,2.27291E-13,1.33476E-12,4.44535E-13,2.88579E-15,2.23338E-15,
d1528862-956f-4441-b2ac-cce8ae963805,Emission to water,surface water,Acetyl chloride,,kg,,,4.60534E-14,1.19314E-11,6.34868E-13,7.23856E-12,6.13692E-12,1.76562E-14,7.92286E-15,
ce6e5657-5e48-472d-b67e-fab246234be6,Emission to water,surface water,"Acidity, unspecified",,kg,,,4.7939E-10,5.99182E-07,8.74319E-06,1.01589E-06,3.86462E-09,1.02891E-10,1.44795E-10,
b37294bd-947d-4f35-b9e6-3eb259c05ff5,Emission to water,unspecified,"Acidity, unspecified",,kg,,,5.09596E-11,1.59484E-08,3.52744E-10,1.38304E-08,3.53636E-08,1.39855E-09,1.68684E-11,
3275a1af-934e-46d4-9cdd-7a78317eabb6,Emission to air,low population density,Acifluorfen,,kg,,,7.36912E-15,,,,,,,
1dcae348-9373-4ff6-96f0-1a444fa96587,Emission to air,low population density,Acifluorfen,,kg,,,,6.34141E-13,2.68418E-13,5.83822E-13,1.55977E-13,3.25299E-15,5.33943E-16,
b24a0dcd-4914-474b-a9cc-31dbc781d457,Emission to soil,agricultural,Acifluorfen,,kg,,,3.15879E-16,,,,,,,
c89708f7-cb6c-4691-b8cc-cf2cb03b14a6,Emission to soil,agricultural,Acifluorfen,,kg,,,,2.71826E-14,1.15058E-14,2.50257E-14,6.68599E-15,1.3944E-16,2.28876E-17,
dc64ecac-a65f-4d9a-9de6-557f1135659f,Emission to soil,agricultural,Aclonifen,,kg,,,3.93248E-14,1.00036E-11,2.76308E-13,5.22863E-12,2.5048E-11,8.76603E-15,1.12978E-14,
90ba480e-f2f2-4ee8-8299-da906df00058,Emission to soil,agricultural,Acrinathrin,,kg,,,6.87701E-16,2.56634E-13,5.40064E-15,1.54627E-13,2.34176E-13,3.67246E-16,1.89645E-16,
